armSkuName,skuId,meterName,productName,location,armRegionName,retailPrice,unitOfMeasure,serviceName,serviceId,serviceFamily,currencyCode,tierMinimumUnits,unitPrice,effectiveStartDate,meterId,productId,skuName,type,isPrimaryMeterRegion
Standard_D14,DZH318Z0BPVW/00QZ,D14/DS14 Spot,Virtual Machines D Series Windows,IN South,southindia,0.2691,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.2691,2023-10-01T00:00:00Z,000009d0-057f-5f2b-b7e9-9e26add324a8,DZH318Z0BPVW,D14 Spot,Consumption,true
Standard_D14,DZH318Z0BPVW/00QZ,D14/DS14 Spot,Virtual Machines D Series Windows,IN South,southindia,0.1955,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.1955,2023-07-01T00:00:00Z,000009d0-057f-5f2b-b7e9-9e26add324a8,DZH318Z0BPVW,D14 Spot,DevTestConsumption,true
AzureDB_MySQL_General_Purpose_Compute_Gen5,DZH318Z0BQJ7/000C,vCore,Azure Database for MySQL Single Server General Purpose - Compute Gen5,UK South,uksouth,0.1016,1 Hour,Azure Database for MySQL,DZH317NR0P99,Databases,USD,0,0.1016,2018-05-01T00:00:00Z,ace03b73-4864-4a8c-afcb-55ddf91e010e,DZH318Z0BQJ7,vCore,Consumption,false
AzureDB_MySQL_General_Purpose_Compute_Gen5,DZH318Z0BQJ7/017G,vCore,Azure Database for MySQL Single Server General Purpose - Compute Gen5,UK South,uksouth,569,1 Hour,Azure Database for MySQL,DZH317NR0P99,Databases,USD,0,569,2019-10-24T00:00:00Z,ace03b73-4864-4a8c-afcb-55ddf91e010e,DZH318Z0BQJ7,vCore,Reservation,false
,DZH318Z0BNZJ/0044,Archive Data Write,Blob Storage,US West 2,westus2,0,1 GB,Storage,DZH317F1HKN0,Storage,USD,0,0,2018-03-01T00:00:00Z,b377a40a-afdd-4b7c-9ec8-af53e2b0c314,DZH318Z0BNZJ,Archive GRS,Consumption,false
36 vCore,DZH318Z0CGTV/007X,vCore,SQL Database Single/Elastic Pool General Purpose - Compute FSv2 Series,AE Central,uaecentral,8.078918,1 Hour,SQL Database,DZH3180HX10K,Databases,USD,0,8.078918,2020-07-23T00:00:00Z,a3e4bc86-11f9-4e26-9943-8a8f72355ddd,DZH318Z0CGTV,36 vCore,Consumption,false
Standard_D16as_v4,DZH318Z0CM93/00QN,D16as v4 Low Priority,Virtual Machines Dasv4 Series Windows,CH North,switzerlandnorth,0.734,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.734,2022-12-01T00:00:00Z,7d3befd6-d304-5c79-aa4e-4b5450973b73,DZH318Z0CM93,D16as v4 Low Priority,Consumption,false
Standard_D16as_v4,DZH318Z0CM93/00QN,D16as v4 Low Priority,Virtual Machines Dasv4 Series Windows,CH North,switzerlandnorth,0.22,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.22,2022-12-01T00:00:00Z,7d3befd6-d304-5c79-aa4e-4b5450973b73,DZH318Z0CM93,D16as v4 Low Priority,DevTestConsumption,false
,DZH318Z0CPS8/0012,LRS Early Premium To Archive Tier Down,Premium ADLS Gen2 Flat Namespace,US South Central,southcentralus,0.1776,1 GB,Storage,DZH317F1HKN0,Storage,USD,0,0.1776,2023-01-01T00:00:00Z,0000f004-3a7b-5ffd-90a8-89d9992ac3a5,DZH318Z0CPS8,Premium LRS,Consumption,true
,DZH318Z09WSD/0011,Commitment Tier Disconnected 8000K Unit,Computer Vision - disconnected,US West Central,westcentralus,45360,1/Year,Cognitive Services,DZH31600VF1F,AI + Machine Learning,USD,0,45360,2022-12-01T00:00:00Z,c92943b5-0f2e-54f2-b256-6424a529a820,DZH318Z09WSD,Commitment Tier Disconnected 8000K,Consumption,false
Standard_E64-16s_v5,DZH318Z096SR/02BM,E64-16s v5 Low Priority,Virtual Machines Esv5 Series,FR Central,francecentral,0.947,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.947,2021-11-01T00:00:00Z,1d42e5ce-9bcb-52cd-bb52-3ad9a9863692,DZH318Z096SR,E64-16s v5 Low Priority,Consumption,false
,DZH318Z0BNZD/001W,S1 Unit,Time Series Insights,US Central,centralus,4.838709,1/Day,Time Series Insights,DZH317Z6VZ3V,Internet of Things,USD,0,4.838709,2017-12-01T00:00:00Z,a38275b7-cbac-4882-b24d-167638333a14,DZH318Z0BNZD,S1,Consumption,false
Standard_D64s_v5,DZH318Z08M9T/00CC,D64s v5 Spot,Virtual Machines Dsv5 Series Windows,AP East,eastasia,0.7168,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.7168,2023-11-01T00:00:00Z,00014e7d-fff9-54dd-962e-4e992887ad3c,DZH318Z08M9T,Standard_D64s_v5 Spot,Consumption,true
Standard_D64s_v5,DZH318Z08M9T/00CC,D64s v5 Spot,Virtual Machines Dsv5 Series Windows,AP East,eastasia,0.422822,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.422822,2023-09-01T00:00:00Z,00014e7d-fff9-54dd-962e-4e992887ad3c,DZH318Z08M9T,Standard_D64s_v5 Spot,DevTestConsumption,true
,DZH318Z0BP88/001V,E10 LRS Disk,Standard SSD Managed Disks,UK South,uksouth,10.56,1/Month,Storage,DZH317F1HKN0,Storage,USD,0,10.56,2018-11-01T00:00:00Z,0001d427-82df-4d83-8ab2-b60768527e08,DZH318Z0BP88,E10 LRS,Consumption,true
AzureDB_PostgreSQL_Flexible_Server_General_Purpose_Dsv3Series_Compute,DZH318Z0DCS1/00BV,vCore,Azure Database for PostgreSQL Flexible Server General Purpose Dsv3 Series Compute,AP Southeast,southeastasia,1.88,1 Hour,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,USD,0,1.88,2021-06-01T00:00:00Z,d76a5e89-18c8-5fc4-b296-611c177ee5a8,DZH318Z0DCS1,16 vCore,Consumption,false
Standard_M64-32ms,DZH318Z0BPW5/05M4,M64-32ms Spot,Virtual Machines MS Series Windows,IL Central,israelcentral,2.830083,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,2.830083,2024-04-01T00:00:00Z,000235b6-685d-5547-8ef2-68c8d905968b,DZH318Z0BPW5,M64-32ms Spot,Consumption,true
Standard_M64-32ms,DZH318Z0BPW5/05M4,M64-32ms Spot,Virtual Machines MS Series Windows,IL Central,israelcentral,2.1832,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,2.1832,2024-04-01T00:00:00Z,000235b6-685d-5547-8ef2-68c8d905968b,DZH318Z0BPW5,M64-32ms Spot,DevTestConsumption,true
Standard_M208-104s_v2,DZH318Z0BX5L/02S6,M208-104s_v2 Low Priority,Virtual Machines MSv2 Series,AE North,uaenorth,5.89,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,5.89,2020-11-01T00:00:00Z,b938b1ba-1303-5e02-8f21-b5d9b054dc34,DZH318Z0BX5L,M208-104s_v2 Low Priority,Consumption,false
Standard_E2bds_v5,DZH318Z09LQP/00CL,E2bds v5 Spot,Virtual Machines Ebdsv5 Series,US West,westus,0.019032,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.019032,2023-09-01T00:00:00Z,00026917-5c42-5cf2-994e-4037490635aa,DZH318Z09LQP,Standard_E2bds_v5 Spot,Consumption,true
,DZH318Z0BJRM/015T,Archive Data Retrieval,Azure Data Lake Storage Gen2 Hierarchical Namespace,QA Central,qatarcentral,0.024,1 GB,Storage,DZH317F1HKN0,Storage,USD,0,0.024,2022-07-05T00:00:00Z,92785843-0ec3-464f-b7fa-8e4fd9d79b9a,DZH318Z0BJRM,Archive ZRS,Consumption,false
,DZH318Z0BNWT/00CD,ZRS Data Stored,Standard Page Blob v2,NO East,norwayeast,0.0619,1 GB/Month,Storage,DZH317F1HKN0,Storage,USD,0,0.0619,2019-12-01T00:00:00Z,00027356-c92d-4d1c-bf45-4503a328cf3e,DZH318Z0BNWT,Standard ZRS,Consumption,true
,DZH318Z0BZ5L/013B,Firewall NVA Data Processing Data Processed,Virtual WAN,CH West,switzerlandwest,0.005,1 GB,Virtual WAN,DZH315ZTM3N9,Networking,USD,0,0.005,2022-07-01T00:00:00Z,00029829-4c50-552f-80f7-7972429ab52e,DZH318Z0BZ5L,Firewall NVA Data Processing,Consumption,true
